ticker,v,vw,o,c,h,l,t,n
stocks_BA,16743530.0,145.6526,148.4,145.17,148.5,143.85,1731387600000,201065
stocks_BA,21249600.0,141.3931,145.58,139.97,145.58,139.1,1731474000000,236318
stocks_BA,15637710.0,139.0314,140.8,138.14,141.55,137.22,1731560400000,171482
stocks_BA,12120095.0,139.3411,138.14,140.19,140.3247,137.03,1731646800000,134360
stocks_BA,12259932.0,142.589,140.255,143.87,144.69,138.2,1731906000000,126637
stocks_BA,8247289.0,144.888,143,145.6,145.99,142.6901,1731992400000,99215
stocks_BA,9232114.0,146.1115,146.04,146.08,147.3,145.0201,1732078800000,91259
fx_CAEDUSD,389,178.4604,178.49,178.49,178.49,178.49,1717402980000,30
fx_CAEDUSD,484,178.6027,178.68,178.68,178.68,178.68,1717403400000,27
fx_CAEDUSD,602,178.3978,178.4,178.4,178.4,178.4,1717404000000,8
fx_CAEDUSD,855,178.0958,178.08,178.08,178.08,178.08,1717406340000,31
fx_CAEDUSD,464,178.0512,178.07,178.08,178.08,178.07,1717407360000,19
fx_CAEDUSD,312,177.6251,177.6,177.6,177.6,177.6,1717412460000,12
fx_CAEDUSD,1033,177.5013,177.5,177.5,177.5,177.5,1717412640000,7
fx_CAEDUSD,175,177.42,177.42,177.42,177.42,177.42,1717412940000,1
fx_CAEDUSD,1761,177.3768,177.37,177.37,177.37,177.37,1717413000000,26
fx_CAEDUSD,184,177.4511,177.45,177.45,177.45,177.45,1717413600000,7
fx_CAEDUSD,394,177.4131,177.42,177.41,177.42,177.41,1717413840000,6
fx_CAEDUSD,235,177.1609,177.16,177.16,177.16,177.16,1717414260000,11
fx_CAEDUSD,3152,177.0019,177,177,177,177,1717414320000,43
fx_CAEDUSD,1299,176.7418,176.76,176.7,176.76,176.7,1717414860000,37
fx_CAEDUSD,1139,176.6982,176.7,176.7,176.7,176.7,1717415040000,23
fx_CAEDUSD,330,176.6503,176.65,176.65,176.65,176.65,1717415100000,6
fx_CAEDUSD,1121,176.5169,176.6,176.5,176.6,176.5,1717415160000,13
fx_CAEDUSD,10892,177.0414,177.8,176.5,177.8,176.25,1717416000000,114
fx_CAEDUSD,904,178.1239,178.5,177.65,178.5,177.65,1717416120000,36
fx_CAEDUSD,2477,177.334,177.65,178.57,178.57,176.65,1717416180000,67
fx_CAEDUSD,1926,176.8676,176.8599,177.65,177.65,176.74,1717416240000,28
fx_CAEDUSD,1018,177.4657,176.74,176.74,176.74,176.74,1717416300000,48
fx_CAEDUSD,409,177.2419,177.85,177.85,177.85,177.85,1717416360000,18
fx_CAEDUSD,441,177.7803,177.65,177.65,177.65,177.65,1717416420000,16
fx_CAEDUSD,576,176.8678,176.8,176.8,176.8,176.8,1717416720000,17
fx_CAEDUSD,227,176.9484,176.96,176.96,176.96,176.96,1717416840000,9
fx_CAEDUSD,1010,176.9993,177,177,177,177,1717416900000,2
fx_CAEDUSD,412,177.1159,177.16,177.16,177.16,177.16,1717417080000,20
fx_CAEDUSD,500,177,177,177,177,177,1717417380000,1
fx_CAEDUSD,390,177.0977,177.1,177.1,177.1,177.1,1717417500000,10
fx_CAEDUSD,101,177.1006,177.1,177.1,177.1,177.1,1717417560000,2
fx_CAEDUSD,286,177.1418,177.16,177.16,177.16,177.16,1717417680000,10
fx_CAEDUSD,168,177.0054,177,177,177,177,1717417860000,4
